Time,Day_Of_Year,TT_16,PYNM_02,TT_11,FT_02,Wind_Velocity,HG_ARRAY_02
7/11/18,192,32.81097561,null,36.43521341,null,null,null
7/12/18,193,47.68288177,null,55.38218391,11.56259742,null,1919.748322
7/13/18,194,29.875,null,36.75,0.159725414,null,18.06872059
7/14/18,195,null,null,null,null,null,null
7/15/18,196,null,null,null,null,null,null
7/16/18,197,null,null,null,null,null,null
7/17/18,198,null,null,null,null,null,null
7/18/18,199,null,null,null,null,null,null
7/19/18,200,null,null,null,null,null,null
7/20/18,201,null,null,null,null,null,null
7/21/18,202,null,null,null,null,null,null
7/22/18,203,43.85440784,null,51.5111309,18.8170159,null,3177.088864
7/23/18,204,40.17981992,null,47.2595339,18.83838156,null,2867.860658
7/24/18,205,39.9141012,null,46.33209483,18.86464088,null,2629.247814
7/25/18,206,38.74382062,null,45.03001412,18.6662025,null,2218.302642
7/26/18,207,37.85846888,null,44.75371287,7.710081748,null,1234.10493
7/27/18,208,46.19896871,null,54.36895448,6.507199761,null,1001.059189
7/28/18,209,40.66769802,null,48.03235502,7.463084953,null,1152.75739
7/29/18,210,45.15171621,null,53.49026893,13.38111124,null,2423.438827
7/30/18,211,40.63425926,null,47.38081166,17.38675085,null,2773.700173
7/31/18,212,42.74404762,null,50.07910906,18.83971098,null,3163.661866
8/1/18,213,43.11768343,null,50.78915911,18.85370066,null,3178.301418
8/2/18,214,43.76520509,null,51.43051627,18.86570341,null,3044.925625
8/3/18,215,44.55557516,null,52.35532816,18.88290861,null,3144.584531
8/4/18,216,42.21350494,null,49.1440409,18.85940336,null,3106.956256
8/5/18,217,34.35815102,null,39.84244884,18.78929045,null,2081.005159
8/6/18,218,38.39116379,null,45.23688937,3.760432008,null,415.1722389
8/7/18,219,40.95311394,null,48.51096957,13.80221277,null,2051.504053
8/8/18,220,39.52287986,null,47.61219081,18.89831002,null,3362.730415
8/9/18,221,44.83149421,null,52.90050651,18.8595726,null,3020.659442
8/10/18,222,42.4916996,null,50.51205534,18.89145658,null,3126.344776
8/11/18,223,43.40799574,null,51.4915326,18.86242143,null,2870.934524
8/12/18,224,41.2943977,null,48.15655447,18.80290806,null,2637.43221
8/13/18,225,42.32866455,null,49.12438337,18.83764693,null,2903.282491
8/14/18,226,42.13736792,null,48.56460134,18.80176281,null,2808.623992
8/15/18,227,null,null,null,null,null,null
8/16/18,228,37.06206522,null,46.00434783,4.04508935,null,693.2926969
8/17/18,229,40.81272085,null,47.78038869,6.255191491,null,795.440971
8/18/18,230,44.40702188,null,52.41213832,11.98413644,null,1972.525081
8/19/18,231,40.2569788,null,46.94611307,15.17737584,null,2221.967535
8/20/18,232,41.40631616,null,47.89043754,18.44881679,null,3016.977259
8/21/18,233,36.45347811,null,43.38524011,17.83627435,null,2595.719292
8/22/18,234,42.62949894,null,49.65543402,18.20710708,null,2800.815341
8/23/18,235,41.66710805,null,49.6634887,18.44860697,null,2967.067327
8/24/18,236,43.75238347,null,51.79890537,18.87295455,null,3373.937469
8/25/18,237,44.21628114,null,52.23647687,18.88035714,null,3299.200105
8/26/18,238,41.17471358,null,48.98139159,18.85080645,null,2745.601993
8/27/18,239,null,null,null,null,null,null
8/28/18,240,null,null,null,null,null,null
8/29/18,241,39.14821429,null,45.67589286,15.75202082,null,2437.570348
8/30/18,242,40.06890459,null,46.91908127,18.81025725,null,2928.800604
8/31/18,243,42.40876234,null,49.87041608,18.84476534,null,2988.458579
9/1/18,244,37.23553282,null,43.27505293,18.81935976,null,2181.422183
